Name,city,Price,Superhost,is_fav,Rating,Reviews,URL
Spacious apartment with balcony and living room,Vienna,€ 629,Yes,1,5.0,016,https://www.airbnb.com/rooms/974241665252693667?search_mode=regular_search&adults=1&check_in=2026-02-01&check_out=2026-02-06&children=0&infants=0&pets=0&source_impression_id=p3_1769511363_P3BJX4RC6ax3_5q3&previous_page_section_name=1000&federated_search_id=6a5ce4c7-73fb-490e-9a39-856c3f38759b
Family&Friends I Parrot Suite Schönbrunn,Vienna,€ 669,Yes,1,4.96,96108,https://www.airbnb.com/rooms/810079455459762397?search_mode=regular_search&adults=1&check_in=2026-02-02&check_out=2026-02-07&children=0&infants=0&pets=0&source_impression_id=p3_1769511363_P3B2X0U39Y_88Wlg&previous_page_section_name=1000&federated_search_id=6a5ce4c7-73fb-490e-9a39-856c3f38759b
Vienna 1900 Residence,Vienna,"€ 1,394",Yes,1,4.98,9851,https://www.airbnb.com/rooms/630433852509961942?search_mode=regular_search&adults=1&check_in=2026-02-02&check_out=2026-02-07&children=0&infants=0&pets=0&source_impression_id=p3_1769511363_P352SenqzgKZXMim&previous_page_section_name=1000&federated_search_id=6a5ce4c7-73fb-490e-9a39-856c3f38759b
Exclusive apartment in green setting,Vienna,"€ 1,046",Yes,1,4.96,9678,https://www.airbnb.com/rooms/1209218539779486448?search_mode=regular_search&adults=1&check_in=2026-06-26&check_out=2026-07-01&children=0&infants=0&pets=0&source_impression_id=p3_1769511363_P3-ygeNarMdKYhLO&previous_page_section_name=1000&federated_search_id=6a5ce4c7-73fb-490e-9a39-856c3f38759b
Walk to City Center • 2BR+2Bath,Vienna,€ 923,Yes,1,5.0,011,https://www.airbnb.com/rooms/1553624952276562694?search_mode=regular_search&adults=1&check_in=2026-02-01&check_out=2026-02-06&children=0&infants=0&pets=0&source_impression_id=p3_1769511363_P3o46e8p_xvvGNxm&previous_page_section_name=1000&federated_search_id=6a5ce4c7-73fb-490e-9a39-856c3f38759b
New penthouse apartment with private terrace,Vienna,€ 832,Yes,1,4.98,9893,https://www.airbnb.com/rooms/733733607511275971?search_mode=regular_search&adults=1&check_in=2026-02-01&check_out=2026-02-06&children=0&infants=0&pets=0&source_impression_id=p3_1769511363_P3w3g6RoK9R3LPr_&previous_page_section_name=1000&federated_search_id=6a5ce4c7-73fb-490e-9a39-856c3f38759b
Cozy 3 Room Apartment - City in 10 Minutes,Vienna,€ 440,Yes,1,4.92,9213,https://www.airbnb.com/rooms/1535025842009275952?search_mode=regular_search&adults=1&check_in=2026-02-01&check_out=2026-02-06&children=0&infants=0&pets=0&source_impression_id=p3_1769511363_P3J2oTWLvk_FivqJ&previous_page_section_name=1000&federated_search_id=6a5ce4c7-73fb-490e-9a39-856c3f38759b
Fabulous City Center Apartment - Apt 15a,Vienna,€ 652,Yes,1,4.85,85283,https://www.airbnb.com/rooms/13424929?search_mode=regular_search&adults=1&check_in=2026-02-01&check_out=2026-02-06&children=0&infants=0&pets=0&source_impression_id=p3_1769511363_P3bdfcc5XH8m01ye&previous_page_section_name=1000&federated_search_id=6a5ce4c7-73fb-490e-9a39-856c3f38759b
NEW * Top location Prater • Ferris wheel • 6 guests,Vienna,€ 705,No,1,5.0,08,https://www.airbnb.com/rooms/1571783134266929400?search_mode=regular_search&adults=1&check_in=2026-02-22&check_out=2026-02-27&children=0&infants=0&pets=0&source_impression_id=p3_1769511363_P3goLKKZ2bAMCAWa&previous_page_section_name=1000&federated_search_id=6a5ce4c7-73fb-490e-9a39-856c3f38759b
Biological apartment 4 bright - quiet - central,Vienna,€ 855,Yes,1,5.0,013,https://www.airbnb.com/rooms/1401277919450067221?search_mode=regular_search&adults=1&check_in=2026-02-01&check_out=2026-02-06&children=0&infants=0&pets=0&source_impression_id=p3_1769511486_P3CNfVoaCBYy67Ly&previous_page_section_name=1000&federated_search_id=f132b800-95db-4d4d-ab54-066a6d023b0c
3BR | Terrace | U3 Close,Vienna,€ 594,No,0,New,1,https://www.airbnb.com/rooms/1596511893547465500?search_mode=regular_search&adults=1&check_in=2026-02-09&check_out=2026-02-14&children=0&infants=0&pets=0&source_impression_id=p3_1769511486_P3DlIxgiPjf-dKPX&previous_page_section_name=1000&federated_search_id=f132b800-95db-4d4d-ab54-066a6d023b0c
"Loft ""The Kiss"" in the center of Vienna",Vienna,€ 980,Yes,1,4.96,9648,https://www.airbnb.com/rooms/939881830195545447?search_mode=regular_search&adults=1&check_in=2026-02-01&check_out=2026-02-06&children=0&infants=0&pets=0&source_impression_id=p3_1769511486_P3DTeeuCC5WDXF3q&previous_page_section_name=1000&federated_search_id=f132b800-95db-4d4d-ab54-066a6d023b0c
Spacious 2-BR | Near Metro Josefstädter Strasse U6,Vienna,€ 355,No,0,New,1,https://www.airbnb.com/rooms/1600922943580368325?search_mode=regular_search&adults=1&check_in=2026-02-01&check_out=2026-02-06&children=0&infants=0&pets=0&source_impression_id=p3_1769511486_P3r40Zf9GOJfXi9i&previous_page_section_name=1000&federated_search_id=f132b800-95db-4d4d-ab54-066a6d023b0c
